geo,date,clicks_sum,revenue_sum,cr_transition_rate_sd,RANKINGS_CR_sd
CA,"2016-01-03 00:00:00",36,234334,6509.27778,1
NY,"2016-01-04 00:00:00",36,45289,1258.02778,2
TX,"2016-01-02 00:00:00",23,5765,250.65217,3
NY,"2016-01-03 00:00:00",63,3479,55.22222,4
TX,"2016-01-04 00:00:00",47,2357,50.14894,5
NY,"2016-01-02 00:00:00",85,2574,30.28235,6
TX,"2016-01-01 00:00:00",45,654,14.53333,7
NY,"2016-01-01 00:00:00",25,284,11.36,8
NY,"2016-01-05 00:00:00",33,358,10.84848,9
CA,"2016-01-02 00:00:00",53,465,8.77358,10
TX,"2016-01-03 00:00:00",57,423,7.42105,11
TX,"2016-01-05 00:00:00",63,427,6.77778,12
CA,"2016-01-01 00:00:00",63,334,5.30159,13
CA,"2016-01-05 00:00:00",73,68,0.93151,14
CA,"2016-01-04 00:00:00",85,36,0.42353,15
